fielders,isout,team,wickettype,Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,Sum of fours,Sum of innings,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate
{60628},true,Mumbai,caught,147,462276,41,541352,23,15,10687273,226,11,1349.4
{103588},true,Super Giants,caught,146,314729,22,260164,19,10,6647451,267,21,1001.89
{46933},true,KKR,caught,146,737007,76,744492,18,21,16514289,177,4,1155.24
{70633},true,Capitals,caught,146,592768,39,447242,18,10,8742468,191,7,894.88
{8813},true,Royals,stumping,146,286607,62,362566,12,18,7404333,183,11,996.38
{12701},true,Mumbai,caught,145,522873,79,592767,15,21,11035568,148,3,1080.32
{49040},true,Royals,caught,145,384912,32,479987,19,16,8746502,191,9,1072.01
{49342},true,Super Kings,caught,144,118587,10,178667,15,6,2926548,191,10,524.07
{58274},true,Sunrisers,caught,144,289512,32,358816,22,9,7077563,198,7,756.43
{67455},true,Sunrisers,caught,144,616312,50,572033,21,14,12997224,208,7,1271.27
{59599},true,Mumbai,caught,143,438511,41,444436,13,12,8541379,206,13,1001.96
{60530},true,Sunrisers,caught,143,421172,23,415428,17,12,8454569,169,2,780.09
{64479},true,KKR,caught,143,316943,18,419826,18,8,6097443,192,6,613.92
{8742},true,Mumbai,caught,143,495211,38,470978,21,14,8280943,194,7,1230.69
{86165},true,Kings XI,caught,142,318306,30,426392,21,9,7136903,201,6,825.62
{10556},true,Daredevils,caught,141,451052,25,273001,21,12,5191896,181,5,1187.19
{51454},true,Chargers,caught,141,121141,15,85354,15,6,2144206,169,6,578.96
{8999},true,Kings XI,caught,141,222681,29,380339,10,10,5408818,178,7,911.62
